1580800008.7529016,"GRIND_STATUS",,2
1580800009.8905578,"BREW_STATUS",,1
1580800076.5365984,"COFFEE_STATUS",3073,
1580800128.763154,"GRIND_STATUS",,1
1580800129.7627301,"BREW_STATUS",,1
1580800196.625483,"COFFEE_STATUS",3073,
1580800249.0279474,"GRIND_STATUS",,2
1580800250.0571027,"BREW_STATUS",,1
1580800316.6475594,"COFFEE_STATUS",3075,
1580800369.0164368,"GRIND_STATUS",,1
1580800369.9835193,"BREW_STATUS",,1
1580800436.736106,"COFFEE_STATUS",3075,
1580800489.0331805,"GRIND_STATUS",,1
1580800489.9931436,"BREW_STATUS",,1
1580800556.8108032,"COFFEE_STATUS",3076,
1580800609.0906086,"GRIND_STATUS",,1
1580800610.0231957,"BREW_STATUS",,1
1580800676.8846955,"COFFEE_STATUS",3075,
1580800729.0536332,"GRIND_STATUS",,2
1580800730.021728,"BREW_STATUS",,1
1580800796.966593,"COFFEE_STATUS",3074,
1580800848.1101203,"GRIND_STATUS",,1
1580800849.1002147,"BREW_STATUS",,1
1580800916.9700162,"COFFEE_STATUS",3074,
1580800968.1406205,"GRIND_STATUS",,1
1580800969.1648624,"BREW_STATUS",,2
1580801037.1392486,"COFFEE_STATUS",3077,
1580801088.11018,"GRIND_STATUS",,1
1580801089.100298,"BREW_STATUS",,2
1580801157.1592016,"COFFEE_STATUS",3073,
1580801208.1604207,"GRIND_STATUS",,1
1580801209.1305385,"BREW_STATUS",,1
1580801277.2093003,"COFFEE_STATUS",3073,
1580801328.1409006,"GRIND_STATUS",,2
1580801329.15046,"BREW_STATUS",,3
1580801397.270093,"COFFEE_STATUS",3073,
1580801448.1468444,"GRIND_STATUS",,2
1580801449.1400826,"BREW_STATUS",,1
1580801517.327918,"COFFEE_STATUS",3074,
1580801569.0259778,"GRIND_STATUS",,1
1580801570.0366528,"BREW_STATUS",,1
1580801637.388265,"COFFEE_STATUS",3073,
1580801689.0072603,"GRIND_STATUS",,2
1580801689.9875567,"BREW_STATUS",,1
1580801757.4620805,"COFFEE_STATUS",3076,
1580801809.0382626,"GRIND_STATUS",,1
1580801810.0074549,"BREW_STATUS",,1
1580801877.5351324,"COFFEE_STATUS",3075,
1580801928.9300296,"GRIND_STATUS",,2
1580801929.658872,"BREW_STATUS",,1
1580801997.704959,"COFFEE_STATUS",3073,
1580802048.7104154,"GRIND_STATUS",,2
1580802049.6700099,"BREW_STATUS",,1
1580802117.7435968,"COFFEE_STATUS",3076,
1580802168.976631,"GRIND_STATUS",,1
1580802169.6591551,"BREW_STATUS",,1
1580802237.7435987,"COFFEE_STATUS",3075,
1580802288.7002206,"GRIND_STATUS",,1
1580802289.7002277,"BREW_STATUS",,1
1580802357.744343,"COFFEE_STATUS",3073,
1580802408.720878,"GRIND_STATUS",,1
1580802409.7297103,"BREW_STATUS",,1
1580802477.7446585,"COFFEE_STATUS",3074,
1580802528.7191563,"GRIND_STATUS",,2
1580802529.7001429,"BREW_STATUS",,1
1580802597.806187,"COFFEE_STATUS",3076,
1580802648.7102716,"GRIND_STATUS",,1
1580802649.9393244,"BREW_STATUS",,1
1580802717.8369308,"COFFEE_STATUS",3072,
1580802769.0024004,"GRIND_STATUS",,1
1580802770.181148,"BREW_STATUS",,1
1580802837.9081514,"COFFEE_STATUS",3074,
1580802889.0135415,"GRIND_STATUS",,1
1580802890.0003078,"BREW_STATUS",,1
1580802957.961133,"COFFEE_STATUS",3075,
1580803009.1435559,"GRIND_STATUS",,1
1580803009.982406,"BREW_STATUS",,1
1580803077.9614282,"COFFEE_STATUS",3073,
1580803128.0557435,"GRIND_STATUS",,1
1580803129.3593113,"BREW_STATUS",,1
1580803197.9862733,"COFFEE_STATUS",3071,
1580803248.9045885,"GRIND_STATUS",,1
1580803249.8835804,"BREW_STATUS",,1
1580803318.0207055,"COFFEE_STATUS",3072,
1580803368.9214456,"GRIND_STATUS",,1
1580803369.8746307,"BREW_STATUS",,1
1580803438.067254,"COFFEE_STATUS",3072,
1580803488.894552,"GRIND_STATUS",,1
1580803489.887138,"BREW_STATUS",,1
